CASES	California	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin
date	Los Angeles	Adams	Ashland	Barron	Bayfield	Brown	Buffalo	Burnett	Calumet	Chippewa	Clark	Columbia	Crawford	Dane	Dodge	Door	Douglas	Dunn	Eau Claire	Florence	Fond du Lac	Forest	Grant	Green	Green Lake	Iowa	Iron	Jackson	Jefferson	Juneau	Kenosha	Kewaunee	La Crosse	Lafayette	Langlade	Lincoln	Manitowoc	Marathon	Marinette	Marquette	Menominee	Milwaukee	Monroe	Oconto	Oneida	Outagamie	Ozaukee	Pepin	Pierce	Polk	Portage	Price	Racine	Richland	Rock	Rusk	Sauk	Sawyer	Shawano	Sheboygan	St. Croix	Taylor	Trempealeau	Unknown	Vernon	Vilas	Walworth	Washburn	Washington	Waukesha	Waupaca	Waushara	Winnebago	Wood
2020-01-26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-01-27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-01-28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-01-29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-01-30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-01-31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-03	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
